apple_id,PLANTID,usda_ploidy,het,ploidy
712,Hawkeye,NA,0.3735264015768925,2x
713,Laxton's Fortune,NA,0.3335165459990144,2x
714,Gewurzluiken,2x,0.37503316781016643,2x
715,Ellison's Orange,NA,0.3577953830408248,2x
716,Inducoa No. II,NA,0.3621071983624578,2x
717,Garrison,NA,0.35706569121716386,2x
718,Jan Steen,NA,0.3528960236533869,2x
719,Lindel,NA,0.36144384215912967,2x
720,Korallo,NA,0.31392858496645315,2x
722,Golden Winesap,NA,0.3476555096470945,2x
723,Frequin Audievre,NA,0.3489443159849892,2x
724,Frostproof,NA,0.32568894279974225,2x
725,Jonagram,NA,0.35740684583601834,2x
726,Lombart's Calville,2x,0.38701148553883474,2x
727,Lord Lambourne,NA,0.3532845608581934,2x
728,Graue Renette Von Zabergau,NA,0.49080777832530986,3x
729,Kendall,NA,0.35389105795837916,2x
730,Gold Canel,NA,0.3137295781054547,2x
731,Launette,2x,0.4647663090860847,3x
732,Jubillee,2x,0.3608183920245631,2x
733,Golden Harvey,2x,0.35314241310033734,2x
737,Greendale,NA,0.38295553618134265,2x
738,Hubbards Pearmain,2x,0.4023160608013343,2x
739,Honeygold,NA,0.3484989196770403,2x
740,Grenadier,NA,0.3309673628747963,2x
741,Ellis Bitter,2x,0.31551116333725027,2x
742,Golden Reinette,NA,0.35704673818278304,2x
743,Liaofu,NA,0.3409556119934802,2x
744,Jamba,NA,0.37563966491035217,2x
745,Gruzhovka of Moscow,NA,0.34144839088738105,2x
746,Gladstone,NA,0.3484041545051363,2x
749,Kandil Kitaika,NA,0.25967552405140065,2x
751,Krievu Rosmarins,NA,0.34401652704598007,2x
752,Hua Guan,NA,0.34052916871991207,2x
753,Kestrel,NA,0.36711079943899017,2x
754,Korei,NA,0.34848944315984987,2x
755,Karmijn,3x,0.4473863765588871,3x
756,Erickson,NA,0.3419695993328532,2x
757,Frogmore,NA,0.3345684394071491,2x
759,Halberstadter Jungfernapfel,NA,0.36304537356430766,2x
760,King,4x,0.4540578446609302,3x
761,Gros Frequin,3x,0.46809256661991583,3x
762,Le Bret,2x,0.3401311549979152,2x
763,Grosse Mouche,2x,0.5357075167734354,3x
764,Feys Record,NA,0.3346347750274819,2x
765,Hudson's Golden Gem,NA,0.3566108183920246,2x
766,Guldborg,NA,0.439065994465714,3x
767,Livadiyskoye,NA,0.3472101133391456,2x
768,Frequin,2x,0.35778590652363446,2x
769,Galicia,NA,0.33887077821159167,2x
770,Golden Russet,2x,0.3572078389750199,2x
771,Frumos de Voinesta,NA,0.34388385580531444,2x
772,Kitaika Zolotaia Ranniaia,NA,0.2894412645464539,2x
773,Korobovka,NA,0.31739699025814033,2x
774,Lakeland,NA,0.36266631287669154,2x
775,Karastojanka,NA,0.3094556688525833,2x
776,Fillbarrel,2x,0.3573405102156855,2x
777,Field Spy,NA,0.3411261893029074,2x
778,Idajon,NA,0.37126151396838636,2x
779,Jefferis,2x,0.3413157196467154,2x
780,Goodland,NA,0.35399529964747356,2x
781,Holaart Doux,2x,0.34713430120162236,2x
782,Harcourt,2x,0.34661309275615027,2x
783,Gallia Beauty,NA,0.36746143057503505,2x
785,Isle of Wight Pippin,2x,0.33218983359235815,2x
